مزرعه,سن,واریته,روز,گروه,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4
22-05,R1,CP69,پنجشنبه,4,3481879.717,283688.8306,3482010.732,283475.9139,3481508.204,283166.7145,3481304.434,283334.8645
22-17,P,CP65,پنجشنبه,4,3482687.83,282375.5412,3482818.846,282162.6244,3482570.371,282009.7515,3482429.767,282192.6925
22-21,P,CP69,پنجشنبه,4,3482905.587,281558.585,3482727,281796,3482957.818,281938.6281,3483125.727,281672.508
23-07,P,CP69,چهارشنبه,3,3482012.944,285307.9645,3482044.304,285061.4545,3481223.395,284957.0174,3481080.719,285189.373
23-11,R5,CP69,چهارشنبه,3,3481948.454,285814.8745,3481979.814,285568.3645,3480930.012,285434.8096,3480902.654,285479.363
23-13,R2,CP69,چهارشنبه,3,3481916.594,286065.3545,3481947.954,285818.8445,3481267.993,285732.3449,3481511.895,285901.2364
24-03,P,CP69,پنجشنبه,4,3480838.534,282697.3145,3480873.334,282449.7545,3479784.034,282296.6545,3479749.234,282544.2145
24-04,P,CP69,پنجشنبه,4,3481617.646,282806.8181,3481716.767,282568.2936,3480942.654,282459.4945,3480907.854,282707.0545
24-08,R1,CP69,پنجشنبه,4,3481821.442,282316.4074,3481920.564,282077.8829,3481014.184,281950.4945,3480979.394,282198.0645
24-11,R3,CP69,پنجشنبه,4,3480981.604,281679.3245,3481016.404,281431.7545,3479927.104,281278.6545,3479892.304,281526.2245
24-15,R2,CP69,پنجشنبه,4,3481053.144,281170.3245,3481087.934,280922.7545,3479998.634,280769.6545,3479963.844,281017.2245
25-03,R1,CP69,پنجشنبه,3,3481455.828,284187.9052,3481273.374,283802.9945,3480951.014,283626.5045,3480743.374,283797.8445
25-07,R4,CP69,پنجشنبه,3,3481193.444,284630.242,3481324.626,284417.0475,3480524.104,283978.7745,3480316.464,284150.1045
25-09,R3,CP69,پنجشنبه,3,3481057.016,284851.9627,3481188.198,284638.7683,3480308.164,284156.9645,3480100.524,284328.2945
25-13,P,CP69,پنجشنبه,3,3480787.302,285290.296,3480918.488,285077.0941,3479881.254,284509.2245,3479673.614,284680.5645
26-02,R1,CP69,پنجشنبه,2,3479668.504,282795.4345,3479703.294,282547.8745,3478713.024,282408.6945,3478678.234,282656.2545
26-08,P,CP69,پنجشنبه,2,3479776.224,282028.9745,3479811.014,281781.4045,3478820.744,281642.2245,3478785.954,281889.7945
26-09,R2,CP69,پنجشنبه,2,3478751.984,281628.5245,3478786.774,281380.9545,3478097.549,281284.0884,3478059.021,281531.1313
26-14,R5,CP69,پنجشنبه,2,3479883.104,281268.4445,3479917.904,281020.8745,3478927.634,280881.6945,3478892.834,281129.2645
26-15,P,CP69,پنجشنبه,2,3478859.704,280862.0545,3478894.494,280614.4845,3478216.832,280519.2431,3478178.304,280766.2872
26-18,R4,CP69,پنجشنبه,2,3479954.644,280759.4445,3479989.434,280511.8845,3478999.164,280372.7045,3478964.374,280620.2645
27-01,R5,CP69,پنجشنبه,3,3481052.824,283335.3545,3480924.614,283064.8745,3479801.397,282907.0193,3479752.927,282892.6369
29-02,P,CP69,پنجشنبه,3,3478568.865,282931.4536,3478607.527,282656.4199,3477899.053,282556.8486,3477878.61,282687.9292
