مزرعه,سن,واریته,روز ,اداره,گروه,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4
15-17,R3,CP69,شنبه,3,3,3489935.0241,287600.5845,3489965.3441,287362.2545,3489011.2941,287240.8745,3488980.9741,287479.2045
15-22,P,CP57,یکشنبه,3,3,3488848.0341,287977.4145,3488879.3941,287730.9045,3487925.3441,287609.5245,3487893.9841,287856.0345
15-24,R4,CP73,یکشنبه,3,3,3488815.4041,288233.8545,3488846.7641,287987.3445,3487892.7141,287865.9645,3487861.3541,288112.4845
15-25,R4,CP69,شنبه,3,3,3489806.0441,288614.4145,3489837.4041,288367.9045,3488883.3541,288246.5345,3488851.9941,288493.0345
15-27,R8,CP69,شنبه,3,3,3488783.5441,288484.3345,3488814.9041,288237.8245,3487860.8541,288116.4445,3487829.4941,288362.9545
16-01,P,CP48,یکشنبه,4,4,3487230.7541,284583.7545,3486278.0941,284462.5645,3486246.2782,284713.5486,3487198.8339,284834.7345
16-03,R1,CP48,یکشنبه,4,4,3487232.0241,284573.8345,3487263.3841,284327.3245,3486310.7241,284206.1245,3486279.3641,284452.6345
16-04,R1,CP48,یکشنبه,4,4,3488253.1341,284703.7345,3488284.4941,284457.2245,3487334.8341,284336.0345,3487300.4741,284582.5445
16-07,R1,CP57,یکشنبه,4,4,3487296.5141,284066.9045,3487327.8741,283820.3945,3486375.2141,283699.1945,3486343.8541,283945.7045
16-09,R1,CP73,یکشنبه,4,4,3487328.3741,283816.4245,3487359.7441,283569.9145,3486407.0841,283448.7145,3486375.7141,283695.2245
16-10,R2,CP73,یکشنبه,4,4,3488349.4841,283946.3345,3488380.8541,283699.8245,3487428.1841,283578.6245,3487396.8241,283825.1345
16-13,P,CP73,دوشنبه,4,4,3487392.8741,283309.5045,3487424.2341,283062.9945,3486471.5741,282941.7945,3486440.2041,283188.3045
16-22,R1,CP69,یکشنبه,4,4,3488542.9541,282425.5945,3488574.3141,282179.0845,3487621.6541,282057.8845,3487590.2941,282304.3945
16-24,R3,CP69,یکشنبه,4,4,3488575.5841,282169.1545,3488606.9441,281922.6445,3487654.2841,281801.4445,3487622.9241,282047.9545
16-27,P,CP69,دوشنبه,4,4,3487618.9641,281532.3345,3487652.2141,281270.9845,3486699.9241,281146.8445,3486666.3041,281411.1445
17-02,P,cp69,دوشنبه,3,3,3487154.1041,285186.3145,3487186.3941,284932.5145,3486233.6942,284811.5832,3486201.4441,285065.1245
17-08,R1,CP48,دوشنبه,3,3,3487056.9841,285949.6745,3487088.3441,285703.1545,3486135.6841,285581.9645,3486104.3241,285828.4745
17-09,P,cp73,یکشنبه,3,3,3488046.2341,286330.0545,3488077.5941,286083.5445,3487124.9341,285962.3445,3487093.5741,286208.8545
17-11,R3,CP73,یکشنبه,3,3,3488013.6041,286586.4845,3488044.9641,286339.9745,3487092.3041,286218.7745,3487060.9441,286465.2845
17-19,R2,CP73,دوشنبه,3,3,3487884.6241,287600.3145,3487915.9841,287353.8045,3486963.3341,287232.6045,3486931.9641,287479.1145
17-24,R4,CP48,دوشنبه,3,3,3488815.4041,288233.8545,3488846.7641,287987.3445,3487892.7141,287865.9645,3487861.3541,288112.4845
17-26,R1,CP69,دوشنبه,3,3,3488783.5441,288484.3345,3488814.9041,288237.8245,3487860.8541,288116.4445,3487829.4941,288362.9545
17-27,R2,CP69,دوشنبه,3,3,3487761.4032,288568.819,3487787.0041,288367.6345,3486834.3541,288246.4345,3486800.7902,288510.3131
18-02,R5,CP73,سه شنبه,4,4,3486205.4939,284708.3632,3486237.4241,284457.3845,3485284.7641,284336.1945,3485252.8441,284587.1645
18-03,R1,CP48,سه شنبه,4,4,3485217.5841,284317.5545,3485248.9441,284071.0445,3484296.2841,283949.8445,3484264.9241,284196.3545
18-06,R2,CP48,دوشنبه,4,4,3486270.5541,284196.9745,3486301.9241,283950.4545,3485349.2641,283829.2545,3485317.8941,284075.7745
18-10,R2,CP73,دوشنبه,4,4,3486335.0441,283690.0545,3486366.4141,283443.5445,3485413.7541,283322.3445,3485382.3841,283568.8545
18-13,R1,CP73,سه شنبه,4,4,3485378.4241,283053.2245,3485409.7941,282806.7145,3484457.1341,282685.5245,3484425.7641,282932.0045
18-16,R1,CP69,دوشنبه,4,4,3486432.1641,282926.7045,3486462.4841,282688.3745,3485509.8241,282567.1745,3485479.5041,282805.5045
18-17,R5,CP69,سه شنبه,4,4,3485443.9541,282538.1445,3485474.2741,282299.8145,3484521.6141,282178.6145,3484491.2941,282416.9445
18-18,R2,CP69,دوشنبه,4,4,3486465.0641,282668.0445,3486495.3941,282429.7145,3485542.7241,282308.5145,3485512.4041,282546.8445
18-24,P,CP69,دوشنبه,4,4,3486561.1441,281912.8745,3486592.5041,281666.3645,3485639.8441,281545.1645,3485608.4841,281791.6745
18-26,P,IRC99-07,دوشنبه,4,4,3486593.0041,281662.3745,3486624.3641,281415.8845,3485671.7041,281294.6845,3485640.3441,281541.1945
19-05,R5,CP69,دوشنبه,3,3,3486096.2741,285566.8745,3486127.6441,285320.3445,3485174.9841,285199.1545,3485143.6141,285445.6745
19-04,R1,CP48,چهارشنبه,3,3,3487121.4741,285442.7645,3487152.8341,285196.2445,3486200.1741,285075.0545,3486168.8141,285321.5645
19-08,R2,CP48,چهارشنبه,3,3,3485042.5441,285693.3945,3485073.9041,285446.8845,3484121.2441,285325.6845,3484089.8841,285572.1945
19-13,P,CP73,سه شنبه,3,3,3485967.3041,286580.6845,3485998.6641,286334.1745,3485046.0041,286212.9845,3485014.6441,286459.4845
19-15,R1,CP69,سه شنبه,3,3,3485935.0241,286834.3945,3485966.0341,286590.6145,3485013.3741,286469.4145,3484982.3641,286713.1945
19-18,R5,CP73,سه شنبه,3,3,3484881.7041,286957.7045,3484912.0241,286719.3745,3483959.3641,286598.1745,3483929.0441,286836.5045
19-19,R1,CP73,سه شنبه,3,3,3485870.1841,287344.0345,3485901.5541,287097.5245,3484948.8841,286976.3245,3484917.5241,287222.8445
19-21,R1,CP70,سه شنبه,3,3,3485838.3241,287594.5145,3485869.6841,287348.0045,3484917.0241,287226.8145,3484885.6641,287473.3145
19-22,P,CP69,سه شنبه,3,3,3484817.2141,287464.6145,3484848.5741,287218.1045,3484365.9351,287156.7019,3484284.3217,287396.8185
19-23,R4,CP73,سه شنبه,3,3,3485805.6941,287850.9545,3485837.0541,287604.4445,3484884.3941,287483.2445,3484853.0341,287729.7645
19-25,R4,CP69,سه شنبه,3,3,3485773.8341,288101.4345,3485805.1941,287854.9245,3484852.5341,287733.7345,3484821.1741,287980.2345
20-05,P,CP48,چهارشنبه,4,4,3483236.9841,283811.0445,3483268.3541,283564.5245,3482315.6941,283443.2745,3482284.3241,283689.8445
20-06,R1,CP48,چهارشنبه,4,4,3484256.1141,283940.6945,3484287.4841,283694.1745,3483334.8141,283572.9745,3483303.4441,283819.5045
20-08,R1,CP57,چهارشنبه,4,4,3484288.7441,283684.2545,3484320.1041,283437.7445,3483367.4341,283316.5445,3483336.0741,283563.0545
20-09,R1,CP73,چهارشنبه,4,4,3483301.4741,283304.1245,3483332.8341,283057.6145,3482498.5141,282951.4645,3482355.5741,283183.7845
20-12,R2,CP73,چهارشنبه,4,4,3484353.2341,283177.3345,3484384.5941,282930.8245,3483431.9241,282809.6245,3483400.5641,283056.1345
20-13,P,CP73,چهارشنبه,4,4,3483365.9641,282797.2045,3483397.3341,282550.6945,3482792.4541,282473.7445,3482649.5141,282706.0545
20-14,R2,CP69,چهارشنبه,4,4,3484385.0941,282926.8545,3484416.4641,282680.3445,3483463.7941,282559.1445,3483432.4241,282805.6545
20-24,R1,CP69,سه شنبه,4,4,3484546.7041,281656.5945,3484578.0641,281410.0845,3483625.3941,281288.8945,3483594.0341,281535.4045
20-26,P,CP69,سه شنبه,4,4,3484578.5641,281406.1145,3484609.9241,281159.6045,3483657.2541,281038.4145,3483625.8941,281284.9245
20-28,R3,CP69,سه شنبه,4,4,3484611.1941,281149.6845,3484641.8041,280909.0845,3483690.7641,280775.0645,3483658.5241,281028.4945
21-03,R2,CP69,چهارشنبه,3,3,3484113.7041,285060.1145,3484145.0341,284813.5945,3483192.4041,284692.4045,3483161.0441,284938.9145
21-09,R2,CP73,چهارشنبه,3,3,3484017.3541,285817.4945,3484048.7141,285570.9945,3483096.0541,285449.7945,3483064.6941,285696.3045
21-15,R4,CP69,چهارشنبه,3,3,3483920.5741,286578.1245,3483951.5941,286334.3445,3482998.9341,286213.1445,3482971.0347,286432.4669
22-05,R1,CP69,پنجشنبه,4,4,3481879.7167,283688.8306,3482010.732,283475.9139,3481508.2041,283166.7145,3481304.4341,283334.8645
22-17,P,CP65,پنجشنبه,4,4,3482687.8302,282375.5412,3482818.8455,282162.6244,3482570.3712,282009.7515,3482429.7668,282192.6925
22-21,P,CP69,پنجشنبه,4,4,3482905.5865,281558.585,3482727,281796,3482957.818,281938.6281,3483125.7271,281672.508
23-07,P,CP69,چهارشنبه,3,3,3482012.9441,285307.9645,3482044.3041,285061.4545,3481223.395,284957.0174,3481080.7194,285189.373
23-11,R5,CP69,چهارشنبه,3,3,3481948.4541,285814.8745,3481979.8141,285568.3645,3480930.0115,285434.8096,3480902.6539,285479.363
23-13,R2,CP69,چهارشنبه,3,3,3481916.5941,286065.3545,3481947.9541,285818.8445,3481267.9931,285732.3449,3481511.8948,285901.2364
24-03,P,CP69,پنجشنبه,4,4,3480838.5341,282697.3145,3480873.3341,282449.7545,3479784.0341,282296.6545,3479749.2341,282544.2145
24-04,P,CP69,پنجشنبه,4,4,3481617.6455,282806.8181,3481716.7673,282568.2936,3480942.6541,282459.4945,3480907.8541,282707.0545
24-08,R1,CP69,پنجشنبه,4,4,3481821.4417,282316.4074,3481920.5635,282077.8829,3481014.1841,281950.4945,3480979.3941,282198.0645
24-11,R3,CP69,پنجشنبه,4,4,3480981.6041,281679.3245,3481016.4041,281431.7545,3479927.1041,281278.6545,3479892.3041,281526.2245
24-15,R2,CP69,پنجشنبه,4,4,3481053.1441,281170.3245,3481087.9341,280922.7545,3479998.6341,280769.6545,3479963.8441,281017.2245
25-03,R1,CP69,پنجشنبه,3,3,3481455.8275,284187.9052,3481273.3741,283802.9945,3480951.0141,283626.5045,3480743.3741,283797.8445
25-07,R4,CP69,پنجشنبه,3,3,3481193.4442,284630.242,3481324.6264,284417.0475,3480524.1041,283978.7745,3480316.4641,284150.1045
25-09,R3,CP69,پنجشنبه,3,3,3481057.0156,284851.9627,3481188.1978,284638.7683,3480308.1641,284156.9645,3480100.5241,284328.2945
25-13,P,CP69,پنجشنبه,3,3,3480787.3016,285290.296,3480918.4884,285077.0941,3479881.2541,284509.2245,3479673.6141,284680.5645
26-02,R1,CP69,پنجشنبه,4,2,3479668.5041,282795.4345,3479703.2941,282547.8745,3478713.0241,282408.6945,3478678.2341,282656.2545
26-08,P,CP69,پنجشنبه,4,2,3479776.2241,282028.9745,3479811.0141,281781.4045,3478820.7441,281642.2245,3478785.9541,281889.7945
26-09,R2,CP69,پنجشنبه,4,2,3478751.9841,281628.5245,3478786.7741,281380.9545,3478097.5489,281284.0884,3478059.0209,281531.1313
26-14,R5,CP69,پنجشنبه,4,2,3479883.1041,281268.4445,3479917.9041,281020.8745,3478927.6341,280881.6945,3478892.8341,281129.2645
26-15,P,CP69,پنجشنبه,4,2,3478859.7041,280862.0545,3478894.4941,280614.4845,3478216.8317,280519.2431,3478178.3035,280766.2872
26-18,R4,CP69,پنجشنبه,4,2,3479954.6441,280759.4445,3479989.4341,280511.8845,3478999.1641,280372.7045,3478964.3741,280620.2645
27-01,R5,CP69,پنجشنبه,3,3,3481052.8241,283335.3545,3480924.6141,283064.8745,3479801.3969,282907.0193,3479752.9268,282892.6369
29-02,P,CP69,پنجشنبه,3,3,3478568.8646,282931.4536,3478607.5266,282656.4199,3477899.0533,282556.8486,3477878.6104,282687.9292
